voicegroup000       voicegroup_dummy
voicegroup176       voicegroup_frlg_fanfare_drumset_2
voicegroup177       voicegroup_frlg_fanfare_drumset_1
voicegroup178       voicegroup_rg_obtain_key_item
voicegroup179       voicegroup_rg_caught_intro
voicegroup180       voicegroup_rg_photo
voicegroup181       voicegroup_rg_game_freak
voicegroup182       voicegroup_rg_new_game
voicegroup183       voicegroup_rg_mystery_gift
voicegroup184       voicegroup_rg_encounter_deoxys
voicegroup185       voicegroup_rg_vs_deoxys
voicegroup186       voicegroup_rg_teachy_tv_menu
voicegroup187       voicegroup_rg_sevii_route
voicegroup188       voicegroup_rg_sevii_45
voicegroup189       voicegroup_rg_sevii_67
voicegroup190       voicegroup_rg_credits_drumset
voicegroup191       voicegroup_191
voicegroup192       voicegroup_192
